Model,Price,Brand,Mileage,Year,Fuel
Cultus   Auto Gear Shift,3050000,Suzuki,51500,2018,Petrol
Corolla   Altis Grande CVT-i 1.8,5150000,Toyota,61000,2018,Petrol
Corolla   Altis Grande CVT-i 1.8,5570000,Toyota,70000,2018,Petrol
Optra,130000,Chevrolet,123456,2005,Petrol
A6 4th (C7) Generation  1.8 TFSI Business Class Edition,15200000,Audi,78000,2018,Petrol
Corolla   Altis Grande CVT-i 1.8,51750000,Toyota,56000,2018,Petrol
Accord   CL7,19750000,Honda,272170,2003,Petrol
Corolla   Altis X Automatic 1.6,58250000,Toyota,35200,2021,Petrol
Corolla Axio   Hybrid 1.5,820000,Toyota,66120,2019,Petrol
Sportage   FWD,740000,KIA,23870,2021,Petrol
Cultus   Auto Gear Shift,340000,Suzuki,23730,2021,Petrol
Alsvin   1.5L DCT Lumiere,35750000,Changan,41183,2021,Petrol
Bolan,330000,Suzuki,33333,1981,Petrol
Corolla   GLi Automatic 1.3 VVTi,470000,Toyota,57000,2018,Petrol
Corolla   Altis Grande CVT-i 1.8,540000,Toyota,63000,2018,Petrol
Civic   1.5 VTEC Turbo Oriel,67250000,Honda,57000,2020,Petrol
Khyber   GA,4250000,Suzuki,80000,1989,Petrol
Vitz   F 1.0,430000,Toyota,114000,2018,Petrol
City   i-DSI,13420000,Honda,161000,2004,Petrol
Corolla   GLi Automatic 1.3 VVTi,4190000,Toyota,73000,2017,Petrol
Passo   Moda,370000,Toyota,70000,2017,Petrol
Civic   Oriel 1.8 i-VTEC CVT,520000,Honda,53000,2017,Petrol
Cultus   EURO II,1430000,Suzuki,96282,2013,Petrol
Every   PC,2550000,Suzuki,51000,2016,Petrol
Move   Custom X,350000,Daihatsu,54000,2019,Petrol
Alto   G4,2250000,Suzuki,99000,2014,Petrol
Civic Reborn  MXST (Hybrid),280000,Honda,120000,2010,Petrol
Mehran   VXR Euro II,1220000,Suzuki,64000,2018,Petrol
Saga   1.3L Ace A/T,400000,Proton,1300,2022,Petrol
City 5th Generation  1.3 i-VTEC Prosmatec,300000,Honda,85000,2016,Petrol
Cultus   VXRi,740000,Suzuki,180000,2007,Petrol
Prius   S Touring Selection 1.8,3650000,Toyota,170000,2010,Hybrid
Corolla   Altis Grande CVT-i 1.8,35250000,Toyota,150000,2014,Petrol
Cultus   VXR,290000,Suzuki,28188,2019,Petrol
Vitz   F 1.0,300000,Toyota,133421,2015,Petrol
Corolla   GLi Automatic 1.3 VVTi,3550000,Toyota,129250,2015,Petrol
Civic   1.8 i-VTEC CVT,460000,Honda,83146,2017,Petrol
Aqua   G,3950000,Toyota,129882,2015,Hybrid
Rio   S,3780000,KIA,60826,2019,Petrol
City 5th Generation  1.3 i-VTEC Prosmatec,3750000,Honda,118003,2019,Petrol
Hilux   Revo V Automatic 3.0,12200000,Toyota,37732,2020,Diesel
Alsvin   1.5L DCT Lumiere,380000,Changan,10222,2021,Petrol
Swift   DLX 1.3,20750000,Suzuki,179637,2017,Petrol
Cultus   Auto Gear Shift,320000,Suzuki,46305,2020,Petrol
